"","Var1","Var2","value"
"1","教育培训","教育培训",0
"2","金融理财","教育培训",154
"3","移动视频","教育培训",197
"4","系统工具","教育培训",353
"5","实用工具","教育培训",70
"6","移动购物","教育培训",64
"7","办公商务","教育培训",66
"8","手机游戏","教育培训",85
"9","新闻资讯","教育培训",80
"10","健康美容","教育培训",40
"11","旅游出行","教育培训",125
"12","生活服务","教育培训",63
"13","医疗服务","教育培训",80
"14","移动社交","教育培训",254
"15","图像服务","教育培训",39
"16","移动音乐","教育培训",109
"17","主题美化","教育培训",42
"18","育儿母婴","教育培训",62
"19","数字阅读","教育培训",54
"20","智能设备","教育培训",42
"21","汽车服务","教育培训",0
"22","电话通讯","教育培训",0
"23","教育培训","金融理财",154
"24","金融理财","金融理财",0
"25","移动视频","金融理财",519
"26","系统工具","金融理财",1393
"27","实用工具","金融理财",152
"28","移动购物","金融理财",408
"29","办公商务","金融理财",165
"30","手机游戏","金融理财",174
"31","新闻资讯","金融理财",283
"32","健康美容","金融理财",54
"33","旅游出行","金融理财",557
"34","生活服务","金融理财",287
"35","医疗服务","金融理财",30
"36","移动社交","金融理财",975
"37","图像服务","金融理财",132
"38","移动音乐","金融理财",260
"39","主题美化","金融理财",17
"40","育儿母婴","金融理财",0
"41","数字阅读","金融理财",117
"42","智能设备","金融理财",20
"43","汽车服务","金融理财",62
"44","电话通讯","金融理财",93
"45","教育培训","移动视频",197
"46","金融理财","移动视频",519
"47","移动视频","移动视频",0
"48","系统工具","移动视频",2809
"49","实用工具","移动视频",170
"50","移动购物","移动视频",502
"51","办公商务","移动视频",236
"52","手机游戏","移动视频",475
"53","新闻资讯","移动视频",525
"54","健康美容","移动视频",44
"55","旅游出行","移动视频",683
"56","生活服务","移动视频",443
"57","医疗服务","移动视频",0
"58","移动社交","移动视频",2118
"59","图像服务","移动视频",310
"60","移动音乐","移动视频",589
"61","主题美化","移动视频",81
"62","育儿母婴","移动视频",0
"63","数字阅读","移动视频",274
"64","智能设备","移动视频",22
"65","汽车服务","移动视频",82
"66","电话通讯","移动视频",154
"67","教育培训","系统工具",353
"68","金融理财","系统工具",1393
"69","移动视频","系统工具",2809
"70","系统工具","系统工具",0
"71","实用工具","系统工具",361
"72","移动购物","系统工具",1074
"73","办公商务","系统工具",517
"74","手机游戏","系统工具",805
"75","新闻资讯","系统工具",1099
"76","健康美容","系统工具",102
"77","旅游出行","系统工具",1961
"78","生活服务","系统工具",872
"79","医疗服务","系统工具",0
"80","移动社交","系统工具",4594
"81","图像服务","系统工具",497
"82","移动音乐","系统工具",1201
"83","主题美化","系统工具",74
"84","育儿母婴","系统工具",19
"85","数字阅读","系统工具",641
"86","智能设备","系统工具",105
"87","汽车服务","系统工具",164
"88","电话通讯","系统工具",449
"89","教育培训","实用工具",70
"90","金融理财","实用工具",152
"91","移动视频","实用工具",170
"92","系统工具","实用工具",361
"93","实用工具","实用工具",0
"94","移动购物","实用工具",105
"95","办公商务","实用工具",117
"96","手机游戏","实用工具",60
"97","新闻资讯","实用工具",94
"98","健康美容","实用工具",37
"99","旅游出行","实用工具",125
"100","生活服务","实用工具",87
"101","医疗服务","实用工具",0
"102","移动社交","实用工具",263
"103","图像服务","实用工具",36
"104","移动音乐","实用工具",136
"105","主题美化","实用工具",0
"106","育儿母婴","实用工具",0
"107","数字阅读","实用工具",111
"108","智能设备","实用工具",0
"109","汽车服务","实用工具",0
"110","电话通讯","实用工具",0
"111","教育培训","移动购物",64
"112","金融理财","移动购物",408
"113","移动视频","移动购物",502
"114","系统工具","移动购物",1074
"115","实用工具","移动购物",105
"116","移动购物","移动购物",0
"117","办公商务","移动购物",94
"118","手机游戏","移动购物",130
"119","新闻资讯","移动购物",192
"120","健康美容","移动购物",41
"121","旅游出行","移动购物",432
"122","生活服务","移动购物",318
"123","医疗服务","移动购物",0
"124","移动社交","移动购物",793
"125","图像服务","移动购物",167
"126","移动音乐","移动购物",211
"127","主题美化","移动购物",22
"128","育儿母婴","移动购物",0
"129","数字阅读","移动购物",96
"130","智能设备","移动购物",21
