"","教育培训","金融理财","移动视频","系统工具","实用工具","移动购物","办公商务","手机游戏","新闻资讯","健康美容","旅游出行","生活服务","医疗服务","移动社交","图像服务","移动音乐","主题美化","育儿母婴","数字阅读","智能设备","汽车服务","电话通讯"
"教育培训",0,154,197,353,70,64,66,85,80,40,125,63,80,254,39,109,42,62,54,42,0,0
"金融理财",154,0,519,1393,152,408,165,174,283,54,557,287,30,975,132,260,17,0,117,20,62,93
"移动视频",197,519,0,2809,170,502,236,475,525,44,683,443,0,2118,310,589,81,0,274,22,82,154
"系统工具",353,1393,2809,0,361,1074,517,805,1099,102,1961,872,0,4594,497,1201,74,19,641,105,164,449
"实用工具",70,152,170,361,0,105,117,60,94,37,125,87,0,263,36,136,0,0,111,0,0,0
"移动购物",64,408,502,1074,105,0,94,130,192,41,432,318,0,793,167,211,22,0,96,21,22,61
"办公商务",66,165,236,517,117,94,0,70,72,11,163,99,0,366,54,112,19,0,52,0,22,25
"手机游戏",85,174,475,805,60,130,70,0,128,48,201,156,0,590,48,196,0,0,138,0,21,25
"新闻资讯",80,283,525,1099,94,192,72,128,0,12,309,169,0,795,82,190,0,0,61,0,23,52
"健康美容",40,54,44,102,37,41,11,48,12,0,11,0,0,41,0,0,0,0,44,0,0,0
"旅游出行",125,557,683,1961,125,432,163,201,309,11,0,338,20,1387,118,303,0,0,130,0,74,118
"生活服务",63,287,443,872,87,318,99,156,169,0,338,0,0,707,134,212,0,0,82,0,0,76
"医疗服务",80,30,0,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,0,0,0,0
"移动社交",254,975,2118,4594,263,793,366,590,795,41,1387,707,18,0,410,976,49,0,499,61,114,291
"图像服务",39,132,310,497,36,167,54,48,82,0,118,134,0,410,0,144,0,22,53,0,0,22
"移动音乐",109,260,589,1201,136,211,112,196,190,0,303,212,0,976,144,0,0,0,147,0,0,78
"主题美化",42,17,81,74,0,22,19,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
"育儿母婴",62,0,0,19,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"数字阅读",54,117,274,641,111,96,52,138,61,44,130,82,0,499,53,147,0,0,0,0,0,0
"智能设备",42,20,22,105,0,21,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
"汽车服务",0,62,82,164,0,22,22,21,23,0,74,0,0,114,0,0,0,0,0,0,0,0
"电话通讯",0,93,154,449,0,61,25,25,52,0,118,76,0,291,22,78,0,0,0,0,0,0
