"","names","id","V1","主题美化","健康美容","办公商务","图像服务","实用工具","手机游戏","教育培训","数字阅读","新闻资讯","旅游出行","智能设备","汽车服务","生活服务","电话通讯","移动社交","移动视频","移动购物","移动音乐","系统工具","育儿母婴","金融理财","医疗服务"
"1","1",12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2","10",120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","100",1200,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"4","1000",12000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","1001",12012,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0
"6","1002",12024,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1003",12036,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","1004",12048,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"9","1005",12060,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,4,0,2,0,0,0,0
"10","1006",12072,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,0,0,0
"11","1007",12084,2,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,2,0,2,0,1,0
"12","1008",12096,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","1009",12108,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","101",1212,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","1010",12120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","1011",12132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
