"","sample.id","name1","name2","name3","name4","name5","name6","name7","name8","name9","name10","name11","name12","count1","duration1","day1","count2","duration2","day2","count3","duration3","day3","count4","duration4","day4","count5","duration5","day5","count6","duration6","day6","count7","duration7","day7","count8","duration8","day8","count9","duration9","day9","count10","duration10","day10","count11","duration11","day11","count12","duration12","day12","genre1","cat1","genre2","cat2","genre3","cat3","genre4","cat4","genre5","cat5","genre6","cat6","genre7","cat7","genre8","cat8","genre9","cat9","genre10","cat10","genre11","cat11","genre12","cat12"
"1","53647","360手机卫士","乐视视频",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","182","2","11","11331","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","安全服务","系统工具","在线视频","移动视频",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","53648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","53649","微信","高德地图","爱奇艺","WiFi万能钥匙","猎豹清理大师",NA,NA,NA,NA,NA,NA,NA,"40","19798","4","3","164","1","1","9","1","128","41262","6","4","60","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","即时通讯","移动社交","地图导航","旅游出行","在线视频","移动视频","WiFi","系统工具","性能优化","系统工具",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","53650","今日头条","搜狗浏览器","QQ浏览器","360清理大师","阿里巴巴","360手机卫士","UC","小米视频","汽车报价大全","搜狗搜索","小伴龙","搜狗输入法","607","28562","16","25","1866","5","2","282","2","53","1884","8","23","8562","5","75","5496","6","4","82","2","14","10186","10","10","161","1","54","13974","11","1","22","1","110","3467","16","综合资讯","新闻资讯","浏览器","系统工具","浏览器","系统工具","性能优化","系统工具","综合电商","移动购物","安全服务","系统工具","浏览器","系统工具","聚合视频","移动视频","汽车资讯","汽车服务","搜索下载","系统工具","学前教育","教育培训","输入法","系统工具"
"5","53651","高德地图","微信","虾米音乐","腾讯手机管家","快看漫画","QQ","手机淘宝",NA,NA,NA,NA,NA,"1","7","1","4","2698","2","3","71","3","2","27","2","3","1048","2","3","387","3","8","2884","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","地图导航","旅游出行","即时通讯","移动社交","在线音乐","移动音乐","安全服务","系统工具","手机动漫","数字阅读","即时通讯","移动社交","综合电商","移动购物",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","53652","QQ","360手机助手","360清理大师","微博","360手机卫士","微信",NA,NA,NA,NA,NA,NA,"5","131","3","3","85","1","1","4","1","12","207","4","2","10","2","1","82","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","即时通讯","移动社交","应用商店","系统工具","性能优化","系统工具","微博社交","移动社交","安全服务","系统工具","即时通讯","移动社交",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","53653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","53654","猎豹清理大师","腾讯手机管家","咪咕视频","WiFi万能钥匙","微信","支付宝","墨迹天气","西瓜视频",NA,NA,NA,NA,"1","10","1","4","148","1","1","3","1","7","22","3","6","740","2","2","10","2","1","4","1","2","8","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","性能优化","系统工具","安全服务","系统工具","在线视频","移动视频","WiFi","系统工具","即时通讯","移动社交","支付结算","金融理财","天气服务","实用工具","短视频","移动视频",NA,NA,NA,NA,NA,NA,NA,NA
"9","53655","酷我音乐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","771","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","在线音乐","移动音乐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","53656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","53657","搜狐视频","微信","聚力视频","惠锁屏","今日头条","墨迹天气","虾米音乐","腾讯视频",NA,NA,NA,NA,"2","148","1","32","24000","9","7","30","7","92","19573","12","31","174","12","3","46","2","10","191","3","4","781","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","在线视频","移动视频","即时通讯","移动社交","在线视频","移动视频","手机锁屏","主题美化","综合资讯","新闻资讯","天气服务","实用工具","在线音乐","移动音乐","在线视频","移动视频",NA,NA,NA,NA,NA,NA,NA,NA
"12","53658","QQ音乐","虾米音乐","墨迹天气","360手机助手","微信",NA,NA,NA,NA,NA,NA,NA,"1","10","1","7","157","1","1","656","1","1","386","1","9","3310","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","在线音乐","移动音乐","在线音乐","移动音乐","天气服务","实用工具","应用商店","系统工具","即时通讯","移动社交",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","53659","墨迹天气","欢乐斗地主（腾讯）","应用宝","腾讯视频","360手机卫士","拼多多","微信","欢乐斗地主",NA,NA,NA,NA,"15","38","11","34","11038","12","43","1306","13","10","267","3","204","47790","16","5","63","1","118","18511","15","1","19","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","天气服务","实用工具","棋牌游戏","手机游戏","应用商店","系统工具","在线视频","移动视频","安全服务","系统工具","在线团购","生活服务","即时通讯","移动社交","棋牌游戏","手机游戏",NA,NA,NA,NA,NA,NA,NA,NA
"14","53660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","53661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","53662","爱奇艺","弓箭手大作战","掌阅","葫芦侠","360手机卫士","乐商店","酷我音乐","QQ","安狗狗管家","乐桌面","开心消消乐","4399游戏盒","6","238","1","12","5144","2","6","3655","4","3","150","1","3","40","2","9","113","1","43","3348","6","8","539","4","40","457","3","96","1199","6","3","147","1","3","15","1","在线视频","移动视频","益智休闲","手机游戏","电子书","数字阅读","游戏助手","手机游戏","安全服务","系统工具","终端商店","系统工具","在线音乐","移动音乐","即时通讯","移动社交","安全服务","系统工具",NA,NA,"消除游戏","手机游戏","游戏平台","手机游戏"
"17","53663","Future crime simulator","葫芦侠","搜狗输入法","恐龙模拟器","爱奇艺","WiFi万能钥匙","酷我音乐","Google Play 商店","迷你世界","应用宝","今日头条","快手","1","534","1","8","642","1","31","1117","9","5","42","1","142","260412","24","1","6","1","60","25870","19","1","3","1","3","1498","1","51","2710","17","15","3745","6","8","1655","2",NA,NA,"游戏助手","手机游戏","输入法","系统工具",NA,NA,"在线视频","移动视频","WiFi","系统工具","在线音乐","移动音乐","应用商店","系统工具","模拟经营","手机游戏","应用商店","系统工具","综合资讯","新闻资讯","短视频","移动视频"
