id,mac,office_id,age,sex,family_status,marital_status,car_status,house_status,consume_capacity,consume_will,device_brand,operator,profession,social_composition,travel,bank,user_tag_work,user_tag_communicate,user_tag_healthy,user_tag_edu,user_tag_financial,user_tag_travel,user_tag_auto,user_tag_live,user_tag_tools,user_tag_game,user_tag_read,user_tag_photo,user_tag_system_tools,user_tag_new,user_tag_medical,user_tag_online_shop,user_tag_sns,user_tag_video,user_tag_music,user_tag_infant_mom,user_tag_wearables,user_tag_subjects,citys,month_latlng,week_latlng,create_date,update_date,place_name1,place_name2,place_code1,place_code2,user_apps_1,user_apps_2,user_apps_3,user_apps_4,user_apps_5,user_apps_6,user_apps_7,user_apps_8,user_apps_9,user_apps_10,user_apps_11,user_apps_12
53647,00:08:22:84:61:00,20171220,41,2,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,南昌市,"10:28.848_115.947_1,7:28.848_115.947_1,6:28.848_115.947_1,5:28.850_115.942_1,28.850_115.943_1,9:28.848_115.947_1,8:28.848_115.947_1,11:28.848_115.947_1|12:28.852_115.942_1",,20171220,0,,,,,"{d=182, s=5, n=360手机卫士, ud=2}","{d=11331, s=11, n=乐视视频, ud=2}",,,,,,,,,,
53648,00:08:22:04:e2:32,20171220,31,2,2,1,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,宝鸡市,,,20171220,0,,,,,,,,,,,,,,,,
53649,00:08:22:14:e6:fb,20171220,31,1,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,20171220,0,,,,,"{d=19798, s=40, n=微信, ud=4}","{d=164, s=3, n=高德地图, ud=1}","{d=9, s=1, n=爱奇艺, ud=1}","{d=41262, s=128, n=WiFi万能钥匙, ud=6}","{d=60, s=4, n=猎豹清理大师, ud=4}",,,,,,,
53650,00:08:22:22:14:fc,20171220,41,2,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,西安市,,,20171220,0,,,,,"{d=28562, s=607, n=今日头条, ud=16}","{d=1866, s=25, n=搜狗浏览器, ud=5}","{d=282, s=2, n=QQ浏览器, ud=2}","{d=1884, s=53, n=360清理大师, ud=8}","{d=8562, s=23, n=阿里巴巴, ud=5}","{d=5496, s=75, n=360手机卫士, ud=6}","{d=82, s=4, n=UC, ud=2}","{d=10186, s=14, n=小米视频, ud=10}","{d=161, s=10, n=汽车报价大全, ud=1}","{d=13974, s=54, n=搜狗搜索, ud=11}","{d=22, s=1, n=小伴龙, ud=1}","{d=3467, s=110, n=搜狗输入法, ud=16}"
53651,00:08:22:26:60:fc,20171220,31,2,2,1,0,0,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,浙江省,,,20171220,0,,,,,"{d=7, s=1, n=高德地图, ud=1}","{d=2698, s=4, n=微信, ud=2}","{d=71, s=3, n=虾米音乐, ud=3}","{d=27, s=2, n=腾讯手机管家, ud=2}","{d=1048, s=3, n=快看漫画, ud=2}","{d=387, s=3, n=QQ, ud=3}","{d=2884, s=8, n=手机淘宝, ud=3}",,,,,
53652,00:08:22:28:eb:fb,20171220,31,2,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,辽宁省,,,20171220,0,,,,,"{d=131, s=5, n=QQ, ud=3}","{d=85, s=3, n=360手机助手, ud=1}","{d=4, s=1, n=360清理大师, ud=1}","{d=207, s=12, n=微博, ud=4}","{d=10, s=2, n=360手机卫士, ud=2}","{d=82, s=1, n=微信, ud=1}",,,,,,
53653,00:08:22:2a:93:ad,20171220,36,1,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,温州市,"21:29.430_106.491_1,20:29.432_106.492_2,29.432_106.491_3,19:29.430_106.492_1,29.436_106.483_4,22:29.432_106.491_1,17:29.445_106.479_1,29.445_106.477_3,18:29.432_106.491_3,9:29.432_106.491_1,16:29.470_106.476_1,8:29.432_106.491_2,13:29.489_106.480_1,29.470_106.474_2,14:29.430_106.492_3,29.489_106.480_1,12:29.432_106.491_1|0:29.432_106.491_2,17:29.470_106.476_2,22:29.430_106.492_1,9:29.470_106.476_3,29.467_106.483_1,13:29.472_106.476_2",,20171220,0,,,,,,,,,,,,,,,,
53654,00:08:22:32:18:fc,20171220,0,1,1,2,0,0,2,2,0,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,咸阳市,,,20171220,0,,,,,"{d=10, s=1, n=猎豹清理大师, ud=1}","{d=148, s=4, n=腾讯手机管家, ud=1}","{d=3, s=1, n=咪咕视频, ud=1}","{d=22, s=7, n=WiFi万能钥匙, ud=3}","{d=740, s=6, n=微信, ud=2}","{d=10, s=2, n=支付宝, ud=2}","{d=4, s=1, n=墨迹天气, ud=1}","{d=8, s=2, n=西瓜视频, ud=1}",,,,
53655,00:08:22:36:dd:fb,20171220,31,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,苏州市,,,20171220,0,,,,,"{d=771, s=40, n=酷我音乐, ud=8}",,,,,,,,,,,
53656,00:08:22:3e:53:cf,20171220,31,1,1,2,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,西安市,,,20171220,0,,,,,,,,,,,,,,,,
53657,00:08:22:40:f6:fb,20171220,36,1,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,阜阳市,,,20171220,0,,,,,"{d=148, s=2, n=搜狐视频, ud=1}","{d=24000, s=32, n=微信, ud=9}","{d=30, s=7, n=聚力视频, ud=7}","{d=19573, s=92, n=惠锁屏, ud=12}","{d=174, s=31, n=今日头条, ud=12}","{d=46, s=3, n=墨迹天气, ud=2}","{d=191, s=10, n=虾米音乐, ud=3}","{d=781, s=4, n=腾讯视频, ud=4}",,,,
53658,00:08:22:54:dd:fb,20171220,31,1,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,赣州市,,,20171220,0,,,,,"{d=10, s=1, n=QQ音乐, ud=1}","{d=157, s=7, n=虾米音乐, ud=1}","{d=656, s=1, n=墨迹天气, ud=1}","{d=386, s=1, n=360手机助手, ud=1}","{d=3310, s=9, n=微信, ud=2}",,,,,,,
53659,00:08:22:58:f2:fb,20171220,25,2,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,贵阳市,,,20171220,0,,,,,"{d=38, s=15, n=墨迹天气, ud=11}","{d=11038, s=34, n=欢乐斗地主（腾讯）, ud=12}","{d=1306, s=43, n=应用宝, ud=13}","{d=267, s=10, n=腾讯视频, ud=3}","{d=47790, s=204, n=360手机卫士, ud=16}","{d=63, s=5, n=拼多多, ud=1}","{d=18511, s=118, n=微信, ud=15}","{d=19, s=1, n=欢乐斗地主, ud=1}",,,,
53660,00:08:22:62:bc:6e,20171220,0,1,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,河北省,"22:21.190_110.412_1,11:21.190_110.412_1|",,20171220,0,,,,,,,,,,,,,,,,
