Source,Target,Weight
教育培训,教育培训,0
金融理财,教育培训,154
移动视频,教育培训,197
系统工具,教育培训,353
实用工具,教育培训,70
移动购物,教育培训,64
办公商务,教育培训,66
手机游戏,教育培训,85
新闻资讯,教育培训,80
健康美容,教育培训,40
旅游出行,教育培训,125
生活服务,教育培训,63
医疗服务,教育培训,80
移动社交,教育培训,254
图像服务,教育培训,39
移动音乐,教育培训,109
主题美化,教育培训,42
育儿母婴,教育培训,62
数字阅读,教育培训,54
智能设备,教育培训,42
汽车服务,教育培训,0
电话通讯,教育培训,0
教育培训,金融理财,154
金融理财,金融理财,0
移动视频,金融理财,519
系统工具,金融理财,1393
实用工具,金融理财,152
移动购物,金融理财,408
办公商务,金融理财,165
手机游戏,金融理财,174
新闻资讯,金融理财,283
健康美容,金融理财,54
旅游出行,金融理财,557
生活服务,金融理财,287
医疗服务,金融理财,30
移动社交,金融理财,975
图像服务,金融理财,132
移动音乐,金融理财,260
主题美化,金融理财,17
育儿母婴,金融理财,0
数字阅读,金融理财,117
智能设备,金融理财,20
汽车服务,金融理财,62
电话通讯,金融理财,93
教育培训,移动视频,197
金融理财,移动视频,519
移动视频,移动视频,0
系统工具,移动视频,2809
实用工具,移动视频,170
移动购物,移动视频,502
办公商务,移动视频,236
手机游戏,移动视频,475
新闻资讯,移动视频,525
健康美容,移动视频,44
旅游出行,移动视频,683
生活服务,移动视频,443
医疗服务,移动视频,0
移动社交,移动视频,2118
图像服务,移动视频,310
移动音乐,移动视频,589
主题美化,移动视频,81
育儿母婴,移动视频,0
数字阅读,移动视频,274
智能设备,移动视频,22
汽车服务,移动视频,82
电话通讯,移动视频,154
教育培训,系统工具,353
金融理财,系统工具,1393
移动视频,系统工具,2809
系统工具,系统工具,0
实用工具,系统工具,361
移动购物,系统工具,1074
办公商务,系统工具,517
手机游戏,系统工具,805
新闻资讯,系统工具,1099
健康美容,系统工具,102
旅游出行,系统工具,1961
生活服务,系统工具,872
医疗服务,系统工具,0
移动社交,系统工具,4594
图像服务,系统工具,497
移动音乐,系统工具,1201
主题美化,系统工具,74
育儿母婴,系统工具,19
数字阅读,系统工具,641
智能设备,系统工具,105
汽车服务,系统工具,164
电话通讯,系统工具,449
教育培训,实用工具,70
金融理财,实用工具,152
移动视频,实用工具,170
系统工具,实用工具,361
实用工具,实用工具,0
移动购物,实用工具,105
办公商务,实用工具,117
手机游戏,实用工具,60
新闻资讯,实用工具,94
健康美容,实用工具,37
旅游出行,实用工具,125
生活服务,实用工具,87
医疗服务,实用工具,0
移动社交,实用工具,263
图像服务,实用工具,36
移动音乐,实用工具,136
主题美化,实用工具,0
育儿母婴,实用工具,0
数字阅读,实用工具,111
智能设备,实用工具,0
汽车服务,实用工具,0
电话通讯,实用工具,0
教育培训,移动购物,64
金融理财,移动购物,408
移动视频,移动购物,502
系统工具,移动购物,1074
实用工具,移动购物,105
移动购物,移动购物,0
办公商务,移动购物,94
手机游戏,移动购物,130
新闻资讯,移动购物,192
健康美容,移动购物,41
旅游出行,移动购物,432
生活服务,移动购物,318
医疗服务,移动购物,0
移动社交,移动购物,793
图像服务,移动购物,167
移动音乐,移动购物,211
主题美化,移动购物,22
育儿母婴,移动购物,0
数字阅读,移动购物,96
智能设备,移动购物,21
汽车服务,移动购物,22
电话通讯,移动购物,61
教育培训,办公商务,66
金融理财,办公商务,165
移动视频,办公商务,236
系统工具,办公商务,517
实用工具,办公商务,117
移动购物,办公商务,94
办公商务,办公商务,0
手机游戏,办公商务,70
新闻资讯,办公商务,72
健康美容,办公商务,11
旅游出行,办公商务,163
生活服务,办公商务,99
医疗服务,办公商务,0
移动社交,办公商务,366
图像服务,办公商务,54
移动音乐,办公商务,112
主题美化,办公商务,19
育儿母婴,办公商务,0
数字阅读,办公商务,52
智能设备,办公商务,0
汽车服务,办公商务,22
电话通讯,办公商务,25
教育培训,手机游戏,85
金融理财,手机游戏,174
移动视频,手机游戏,475
系统工具,手机游戏,805
实用工具,手机游戏,60
移动购物,手机游戏,130
办公商务,手机游戏,70
手机游戏,手机游戏,0
新闻资讯,手机游戏,128
健康美容,手机游戏,48
旅游出行,手机游戏,201
生活服务,手机游戏,156
医疗服务,手机游戏,0
移动社交,手机游戏,590
图像服务,手机游戏,48
移动音乐,手机游戏,196
主题美化,手机游戏,0
育儿母婴,手机游戏,0
数字阅读,手机游戏,138
智能设备,手机游戏,0
汽车服务,手机游戏,21
电话通讯,手机游戏,25
教育培训,新闻资讯,80
金融理财,新闻资讯,283
移动视频,新闻资讯,525
系统工具,新闻资讯,1099
实用工具,新闻资讯,94
移动购物,新闻资讯,192
办公商务,新闻资讯,72
手机游戏,新闻资讯,128
新闻资讯,新闻资讯,0
健康美容,新闻资讯,12
旅游出行,新闻资讯,309
生活服务,新闻资讯,169
医疗服务,新闻资讯,0
移动社交,新闻资讯,795
图像服务,新闻资讯,82
移动音乐,新闻资讯,190
主题美化,新闻资讯,0
育儿母婴,新闻资讯,0
数字阅读,新闻资讯,61
智能设备,新闻资讯,0
汽车服务,新闻资讯,23
电话通讯,新闻资讯,52
教育培训,健康美容,40
金融理财,健康美容,54
移动视频,健康美容,44
系统工具,健康美容,102
实用工具,健康美容,37
移动购物,健康美容,41
办公商务,健康美容,11
手机游戏,健康美容,48
新闻资讯,健康美容,12
健康美容,健康美容,0
旅游出行,健康美容,11
生活服务,健康美容,0
医疗服务,健康美容,0
移动社交,健康美容,41
图像服务,健康美容,0
移动音乐,健康美容,0
主题美化,健康美容,0
育儿母婴,健康美容,0
数字阅读,健康美容,44
智能设备,健康美容,0
汽车服务,健康美容,0
电话通讯,健康美容,0
教育培训,旅游出行,125
金融理财,旅游出行,557
移动视频,旅游出行,683
系统工具,旅游出行,1961
实用工具,旅游出行,125
移动购物,旅游出行,432
办公商务,旅游出行,163
手机游戏,旅游出行,201
新闻资讯,旅游出行,309
健康美容,旅游出行,11
旅游出行,旅游出行,0
生活服务,旅游出行,338
医疗服务,旅游出行,20
移动社交,旅游出行,1387
图像服务,旅游出行,118
移动音乐,旅游出行,303
主题美化,旅游出行,0
育儿母婴,旅游出行,0
数字阅读,旅游出行,130
智能设备,旅游出行,0
汽车服务,旅游出行,74
电话通讯,旅游出行,118
教育培训,生活服务,63
金融理财,生活服务,287
移动视频,生活服务,443
系统工具,生活服务,872
实用工具,生活服务,87
移动购物,生活服务,318
办公商务,生活服务,99
手机游戏,生活服务,156
新闻资讯,生活服务,169
健康美容,生活服务,0
旅游出行,生活服务,338
生活服务,生活服务,0
医疗服务,生活服务,0
移动社交,生活服务,707
图像服务,生活服务,134
移动音乐,生活服务,212
主题美化,生活服务,0
育儿母婴,生活服务,0
数字阅读,生活服务,82
智能设备,生活服务,0
汽车服务,生活服务,0
电话通讯,生活服务,76
教育培训,医疗服务,80
金融理财,医疗服务,30
移动视频,医疗服务,0
系统工具,医疗服务,0
实用工具,医疗服务,0
移动购物,医疗服务,0
办公商务,医疗服务,0
手机游戏,医疗服务,0
新闻资讯,医疗服务,0
健康美容,医疗服务,0
旅游出行,医疗服务,20
生活服务,医疗服务,0
医疗服务,医疗服务,0
移动社交,医疗服务,18
图像服务,医疗服务,0
移动音乐,医疗服务,0
主题美化,医疗服务,0
育儿母婴,医疗服务,0
数字阅读,医疗服务,0
智能设备,医疗服务,0
汽车服务,医疗服务,0
电话通讯,医疗服务,0
教育培训,移动社交,254
金融理财,移动社交,975
移动视频,移动社交,2118
系统工具,移动社交,4594
实用工具,移动社交,263
移动购物,移动社交,793
办公商务,移动社交,366
手机游戏,移动社交,590
新闻资讯,移动社交,795
健康美容,移动社交,41
旅游出行,移动社交,1387
生活服务,移动社交,707
医疗服务,移动社交,18
移动社交,移动社交,0
图像服务,移动社交,410
移动音乐,移动社交,976
主题美化,移动社交,49
育儿母婴,移动社交,0
数字阅读,移动社交,499
智能设备,移动社交,61
汽车服务,移动社交,114
电话通讯,移动社交,291
教育培训,图像服务,39
金融理财,图像服务,132
移动视频,图像服务,310
系统工具,图像服务,497
实用工具,图像服务,36
移动购物,图像服务,167
办公商务,图像服务,54
手机游戏,图像服务,48
新闻资讯,图像服务,82
健康美容,图像服务,0
旅游出行,图像服务,118
生活服务,图像服务,134
医疗服务,图像服务,0
移动社交,图像服务,410
图像服务,图像服务,0
移动音乐,图像服务,144
主题美化,图像服务,0
育儿母婴,图像服务,22
数字阅读,图像服务,53
智能设备,图像服务,0
汽车服务,图像服务,0
电话通讯,图像服务,22
教育培训,移动音乐,109
金融理财,移动音乐,260
移动视频,移动音乐,589
系统工具,移动音乐,1201
实用工具,移动音乐,136
移动购物,移动音乐,211
办公商务,移动音乐,112
手机游戏,移动音乐,196
新闻资讯,移动音乐,190
健康美容,移动音乐,0
旅游出行,移动音乐,303
生活服务,移动音乐,212
医疗服务,移动音乐,0
移动社交,移动音乐,976
图像服务,移动音乐,144
移动音乐,移动音乐,0
主题美化,移动音乐,0
育儿母婴,移动音乐,0
数字阅读,移动音乐,147
智能设备,移动音乐,0
汽车服务,移动音乐,0
电话通讯,移动音乐,78
教育培训,主题美化,42
金融理财,主题美化,17
移动视频,主题美化,81
系统工具,主题美化,74
实用工具,主题美化,0
移动购物,主题美化,22
办公商务,主题美化,19
手机游戏,主题美化,0
新闻资讯,主题美化,0
健康美容,主题美化,0
旅游出行,主题美化,0
生活服务,主题美化,0
医疗服务,主题美化,0
移动社交,主题美化,49
图像服务,主题美化,0
移动音乐,主题美化,0
主题美化,主题美化,0
育儿母婴,主题美化,0
数字阅读,主题美化,0
智能设备,主题美化,0
汽车服务,主题美化,0
电话通讯,主题美化,0
教育培训,育儿母婴,62
金融理财,育儿母婴,0
移动视频,育儿母婴,0
系统工具,育儿母婴,19
实用工具,育儿母婴,0
移动购物,育儿母婴,0
办公商务,育儿母婴,0
手机游戏,育儿母婴,0
新闻资讯,育儿母婴,0
健康美容,育儿母婴,0
旅游出行,育儿母婴,0
生活服务,育儿母婴,0
医疗服务,育儿母婴,0
移动社交,育儿母婴,0
图像服务,育儿母婴,22
移动音乐,育儿母婴,0
主题美化,育儿母婴,0
育儿母婴,育儿母婴,0
